Division,School,Ensemble Visual,Field Music,Ensemble Music,Overall Effect - Visual,Overall Effect - Music,Total,Auxiliary
American A,Pottsgrove,14.7,15.25,15.6,15.9,16.15,77.6,146.5
American A,Coatesville,13.85,13.2,14.15,14.1,14.5,69.8,135.5
Liberty A,Washington Township,13.55,13.85,15.35,15.5,13.8,72.05,133
American Open,Sun Valley,13.7,15.2,16.2,16.4,15.8,77.3,133
Liberty Open,Phoenixville,13.9,14.8,16.2,15.7,14.3,74.9,137
Yankee Open,Cherokee,14.7,15.1,16.5,15.9,14.9,77.1,139
Yankee Open,Wilson,13.8,14.7,16,15.5,14.5,74.5,135
Patriot Open,Hempfield,15.8,15.6,17.1,16.4,16,80.9,150
Patriot Open,Boyertown Area,14.5,15.4,16.7,16.8,15.6,79,148
Exhibition,Spring-Ford,13.5,15.3,16.9,16.2,15.8,77.7,146
American A,Big Spring,13.3,15.15,15.55,13.55,14.8,72.35,143
American A,York Catholic,13.85,14.05,14.7,14.1,15.15,71.85,127.5
American A,Middletown Area,14.35,13.35,13.8,13.75,14.2,69.45,136.5
Patriot A,Cedar Crest,15.6,16.5,17.75,16.35,16.4,82.6,160.5
Patriot A,Red Lion Area,15.1,16.25,16,14.45,16.2,78,140
Patriot A,Cumberland Valley,14.85,15.7,15.4,14.4,16,76.35,157
Independence A,Donegal HS,14.9,15.75,17.2,15.7,16.05,79.6,130
Independence A,Biglerville,14.15,14.55,15.75,16.1,15.75,76.3,154.5
Liberty Open,Northern York,15.4,16.1,17.55,16.4,16.35,81.8,165
Liberty A,Conestoga Valley,14.75,15.1,15,15.75,15.7,75.1,135
Yankee A,York Suburban,13.6,16.25,14.6,13.75,14.85,73.05,140
Exhibition,Eastern York,14.8,15.9,15.6,15.95,15.95,78.2,147.5
Liberty A,Conrad Weiser,16.4,15.75,15.4,15.95,16.05,79.55,149.5
Liberty A,Hazleton Area,15.6,15.2,14.25,15.7,15.4,76.15,129.5
Liberty A,Catasauqua,14.8,15.55,13.65,15.35,15,73.35,147
Yankee A,Pennridge,15.8,16.4,15.2,16.35,16.6,80.35,166.5
American A,Pottsgrove,16.35,15.8,16.35,17.1,16.7,82.3,164
American A,Governor Mifflin,16.55,15.05,15.45,16.15,15.3,78.5,123
American A,Pottstown,15,15.3,15.5,15.3,15.35,76.45,129.5
American A,Hatboro Horsham,15.75,14.8,14.75,15.5,14.95,73.35,154.5
Yankee Open,Nazareth Area,16.4,15.9,16.6,16.4,16.6,81.9,172
Yankee Open,Warwick,16.1,16.5,15.9,16.2,16.4,81.1,153
Liberty Open,Susquehannock,16.8,16.8,16.7,16.8,16.6,83.7,146
Liberty Open,Whitehall,16.2,15.3,16,16,16.2,79.7,145
Liberty Open,Phoenixville,15.7,15.1,15.7,16.2,15.7,78.4,140
Patriot Open,Upper Moreland,16.9,16.9,17.1,16.8,17,84.7,170
Patriot Open,Hempfield,17.1,16.5,16.8,17,16.4,83.8,154
Patriot Open,Neshaminy,16.6,15.8,16.5,16.2,16.7,81.8,145
Exhibition,Boyertown Area,16.3,16.2,16.2,16.4,16,81.1,161
American Open,Sun Valley,16.3,16,15.6,15.2,16.4,79.5,160
Liberty Open,Susquehannock,16.9,16.1,17,14.8,16.6,81.4,147
Patriot Open,Spring-Ford,16.6,16,15.8,16.9,16.6,81.9,149
Patriot Open,Downingtown East,15.4,15.4,15.2,16.3,15.9,78.2,138
Yankee Open,Nazareth Area,16.8,16.3,16.8,16.2,16,82.1,171
Yankee Open,Eastern York,15.9,15.5,16,15.7,15.2,78.3,154
American A,Pottsgrove,16.15,17.15,16.4,16.35,16.4,82.45,166.5
Yankee A,York Suburban,14.1,14.35,14.7,14.95,14.75,72.85,143.5
Exhibition,Exeter Township,13.6,13.4,14.15,14.7,14.2,70.05,144.5
Independence A,Donegal HS,16.75,16.5,14.7,17,16.15,81.1,161
American A,Pottsgrove,15.6,17.55,16.75,16.95,17.15,84,167
American A,York Catholic,16.05,16.1,14.15,15.3,16.6,78.2,158.5
Liberty A,Greencastle-Antrim,18.05,16.7,15.9,17.05,16.8,84.5,169
Liberty A,Twin Valley,17.3,16.65,15.45,16.35,16.5,82.25,165
Liberty A,Daniel Boone,15.05,16.3,15.55,15.4,16.25,78.55,150
Liberty A,Carlisle,15.15,16.9,15.1,15,16.1,78.25,155
Freedom - Yankee,Fleetwood Area,14.8,16.4,14.6,15.5,15.9,77.2,139
Yankee A,Manheim Central,15.9,16.1,14.9,15.45,17.1,79.45,137.5
Yankee A,Exeter Township,15.05,14,15.25,14.95,16.25,75.5,147
Liberty Open,Phoenixville,16.7,16.7,17.4,17.4,17.8,86,166
Liberty Open,Conrad Weiser,15.4,16.3,16.6,17.1,17.5,82.9,160
Patriot Open,Upper Moreland,18.3,18.4,17.7,18.3,19.2,91.9,172
Patriot Open,Spring-Ford,17.5,18,17.2,18.2,18.8,89.7,166
Exhibition,Wilson,16.4,17.4,16.8,16.3,17.6,84.5,164
American Open,Williamsport Area,17.2,16.8,16.9,17.2,17.8,85.9,172
Liberty A,Bloomsburg Area,15.95,15.9,16.4,15.95,16.6,80.8,155.5
Liberty A,Muncy,13.4,14.1,15,13.4,13.4,69.3,138.5
Yankee A,Berwick Area,16.15,16.65,15.95,16.15,15.8,80.7,159
American A,Shikellamy,16.7,16.15,17.15,16.7,15.8,82.5,167.5
American A,Southern Tioga,16.5,14.5,16.15,16.5,16.65,80.3,165
American A,Jersey Shore,15.7,15.8,15.9,15.7,15.3,78.4,161
Exhibition,Loyalsock Township,16.9,16.85,16.7,16.9,16.6,83.95,173
Independence A,Penn Wood,15.6,16.6,15.95,14.9,15.05,78.1,157.5
Independence A,Pittston Area,16.25,15.8,15.6,15.35,14.8,77.8,166
Freedom - Liberty,Mount Pleasant,15.9,16.5,14.5,14.2,14.3,75.4,147
Liberty A,Conestoga Valley,17.3,16.4,16.95,16.55,16.75,83.95,165
Liberty A,Haverford,16,15.7,15.05,15.15,14.4,76.3,156
Yankee A,Kennett,16.35,16.25,17.35,17.15,15.65,82.75,152
American A,West Chester East,16.6,16.7,16.35,16.35,16.15,82.15,162.5
American A,Concord,16.8,16.3,15.8,15.95,15.75,80.6,154
American A,William Tennent,15.8,15.7,15.35,15.65,16.1,78.6,154.5
American A,James Buchanan,15.5,15.2,14.8,15.3,14.95,75.75,149.5
Exhibition,Conestoga,16.9,16.8,16.3,16.2,16.2,82.4,164
