Division,School,Ensemble Visual,Field Music,Ensemble Music,Overall Effect - Visual,Overall Effect - Music,Total,Percussion,High Music,High Overall Effect
American A,Pottsgrove,14.7,15.25,15.6,15.9,16.15,77.6,144.5,0,0
American A,Coatesville,13.85,13.2,14.15,14.1,14.5,69.8,136,0,0
Liberty A,Washington Township,13.55,13.85,15.35,15.5,13.8,72.05,132.5,0,0
American Open,Sun Valley,13.7,15.2,16.2,16.4,15.8,77.3,139,31.4,32.2
Liberty Open,Phoenixville,13.9,14.8,16.2,15.7,14.3,74.9,139,31,30
Yankee Open,Cherokee,14.7,15.1,16.5,15.9,14.9,77.1,138,31.6,30.8
Yankee Open,Wilson,13.8,14.7,16,15.5,14.5,74.5,141,30.7,30
Patriot Open,Hempfield,15.8,15.6,17.1,16.4,16,80.9,152,32.7,32.4
Patriot Open,Boyertown Area,14.5,15.4,16.7,16.8,15.6,79,143,32.1,32.4
Exhibition,Spring-Ford,13.5,15.3,16.9,16.2,15.8,77.7,157,32.2,32
American A,Big Spring,13.3,15.15,15.55,13.55,14.8,72.35,141,30.7,28.35
American A,York Catholic,13.85,14.05,14.7,14.1,15.15,71.85,143.5,28.75,29.25
American A,Middletown Area,14.35,13.35,13.8,13.75,14.2,69.45,132.5,27.15,27.95
Patriot A,Cedar Crest,15.6,16.5,17.75,16.35,16.4,82.6,175.5,34.25,32.75
Patriot A,Red Lion Area,15.1,16.25,16,14.45,16.2,78,160.5,32.25,30.65
Patriot A,Cumberland Valley,14.85,15.7,15.4,14.4,16,76.35,156.5,31.1,30.4
Independence A,Donegal HS,14.9,15.75,17.2,15.7,16.05,79.6,154.5,32.95,31.75
Independence A,Biglerville,14.15,14.55,15.75,16.1,15.75,76.3,157,30.3,31.85
Liberty Open,Northern York,15.4,16.1,17.55,16.4,16.35,81.8,169.5,33.65,32.75
Liberty A,Conestoga Valley,14.75,15.1,15,15.75,15.7,75.1,158.5,30.1,31.45
